,text,intent
2743,Do you know what time it is?,asking time
2744,what is the weather like tomorrow,asking weather
2745,Bye,goodbye
2746,Please be quiet,goodbye
2747,Hello,"greet and hello hi kind of things, general check in"
2748,covid confirmed cases of,covid cases
2749,what is the date easter falls on,asking time
2750,what is the weather like now tomorrow,asking weather
2751,lower the volume on the speakers,volume control
2752,Quiet,goodbye
2753,did i get an email from jen last night,send email
2754,today,asking date
2755,download youtube video of minecraft,download youtube video
2756,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
2757,give me the current time,asking time
2758,play old fashioned christmas music,play on youtube
2759,what's going on in the world,tell me news
2760,send mom an email now,send email
2761,"Thank you, bye",goodbye
2762,what is the weather like now day before tomorrow,asking weather
2763,what's good news,tell me news
2764,play shape of you on youtube today,play on youtube
2765,is it snowing in seattle,asking weather
2766,tell me news tomorrow,tell me news
2767,i am bored what can i do today with my wife,i am bored
2768,Hola how are you?,"greet and hello hi kind of things, general check in"
2769,send the email to john,send email
2770,download youtube video of <name>,download youtube video
2771,be silent for thirty minutes,volume control
2772,play music by taylor swift,play on youtube
2773,decrease volume to very soft,volume control
2774,See you later,goodbye
2775,what song is currently playing,play on youtube
2776,tell me a joke please,tell me joke
2777,speak quieter,volume control
2778,capture photo of,click photo
2779,what's good news today,tell me news
2780,hi google play me playlist wacky in my gaana application,play on youtube
2781,take screenshot,take screenshot
2782,don't speak for an hour,volume control
2783,what time is it tomorrow,asking time
2784,is it going to be nice tomorrow,asking weather
2785,Hello how are you?,"greet and hello hi kind of things, general check in"
2786,tomorrow,asking date
2787,what time is it tomorrow,asking time
2788,can you find animal crossing,play games
2789,tell me joke about trump,tell me joke
2790,Hya there,"greet and hello hi kind of things, general check in"
2791,could you once again rephrase me about your answers.,tell me about
2792,send email to <name>,send email
2793,find the this week's news about emigration legislation in the us please,tell me news
2794,what time is it day after tomorrow,asking time
2795,do i have any music by lady antebellum,play on youtube
2796,send whatsapp message about <name>,send whatsapp message
2797,good afternoon,goodbye
2798,what is the weather tomorrow,asking weather
2799,send email to newmail@gmail dot com,send email
2800,find new email,send email
2801,Quiet,goodbye
2802,what is the weather like now day after tomorrow,asking weather
2803,Hola how are you?,"greet and hello hi kind of things, general check in"
2804,lindafancy55@gmail dot com,send email
2805,good bye,goodbye
2806,will you explain me about the last sentence further please.,tell me about
2807,tell me about my day,tell me about
2808,down,volume control
2809,download youtube video of minecraft,download youtube video
2810,"s2, i didn't catch that.",tell me about
2811,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
2812,is there any new news on trump,tell me news
2813,This is Adam,"greet and hello hi kind of things, general check in"
2814,click photo,click photo
2815,do i have new emails from john,send email
2816,has any mail received with an attachment,send email
2817,send whatsapp message about <name>,send whatsapp message
2818,show the playlist,play on youtube
2819,howdy,"greet and hello hi kind of things, general check in"
2820,download youtube video of <name>,download youtube video
2821,tell me about my day,tell me about
2822,i can not quite catch up with you.,tell me about
2823,Do you know what time it is?,asking time
2824,Tell me a joke,tell me joke
2825,i want to see the news,tell me news
2826,what's the song title,play on youtube
2827,do i have any emails from katherine,send email
2828,download youtube video of minecraft,download youtube video
2829,look at my email,send email
2830,get me the latest on current events going on in the world,tell me news
2831,be quiet,volume control
2832,Hola how are you?,"greet and hello hi kind of things, general check in"
2833,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
2834,what is the email sent by this contact read,send email
2835,places near me to eat today,places near me
2836,click photo of,click photo
2837,open chess game,play games
2838,what is the weather today,asking weather
2839,Time,asking time
2840,screen shot now,take screenshot
2841,find songs from my big band playlist,play on youtube
2842,send email to <name> about <name>,send email
2843,send email,send email
2844,i'd like to play uno with you,play games
2845,Do you know what time it is?,asking time
2846,what time is it today,asking time
2847,Great thanks! I am Bella,"greet and hello hi kind of things, general check in"
2848,will i need sunblock this weekend,asking weather
2849,read unchecked email,send email
2850,download youtube video of,download youtube video
2851,how many birthday's are on twenty third,asking time
2852,Stop talking,goodbye
2853,what song is playing,play on youtube
2854,find me a bar in cleveland open until two am,places near me
2855,What are the top places nearby?,places near me
2856,what is the day,asking date
2857,play on youtube,play on youtube
2858,see you later,goodbye
2859,take screenshot,take screenshot
2860,places near me to eat today with my family,places near me
2861,can you pull up information on the singer of this song,play on youtube
2862,what genre is this song in,play on youtube
2863,Can you tell me the time?,asking time
2864,Hello,"greet and hello hi kind of things, general check in"
2865,download youtube video of guru randhawa,download youtube video
2866,i could not understand this.,tell me about
2867,Quiet,goodbye
2868,Do you know any jokes,tell me joke
2869,What are your functionalities?,what can you do
2870,should i bring an umbrella today,asking weather
2871,what's the funniest joke you know,tell me joke
2872,download youtube video of guru randhawa,download youtube video
2873,download youtube video of,download youtube video
2874,hello there,"greet and hello hi kind of things, general check in"
2875,What are your functionalities?,what can you do
2876,whats up,"greet and hello hi kind of things, general check in"
2877,download youtube video of <name>,download youtube video
2878,how does production and population affects us,tell me about
2879,play bad guy on youtube,play on youtube
2880,"s1, will you further explain.",tell me about
2881,Tell me a joke,tell me joke
2882,play on youtube,play on youtube
2883,"Thank you, goodbye",goodbye
2884,I am Bella,"greet and hello hi kind of things, general check in"
2885,play on youtube,play on youtube
2886,Hello how are you?,"greet and hello hi kind of things, general check in"
2887,it has a meaning of rhythm,tell me about
2888,i want a not only to direct me to an internet site but actually answer any given question,tell me about
2889,good bye,goodbye
2890,where can i shop around here,places near me
2891,What are your functions?,what can you do
2892,tell me a fun joke,tell me joke
2893,what genre is most played on my music player,play on youtube
2894,"Thank you, goodbye",goodbye
2895,Hola how are you?,"greet and hello hi kind of things, general check in"
2896,please send a notification when john replies,send email
2897,what is the weather forecast for chicago,asking weather
2898,tomorrow,asking date
2899,i want to know the best super market in this local area,places near me
2900,what's happening in news express,tell me news
2901,Quiet,goodbye
2902,are there any grocery stores nearby,places near me
2903,tell me a dad joke,tell me joke
2904,play games with me,play games
2905,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
2906,what is the weather day after tomorrow,asking weather
2907,capture selfie,click photo
2908,make the volume lower,volume control
2909,send email to marissa,send email
2910,open website facebook.com,open website
2911,play games of c,play games
2912,hello there,"greet and hello hi kind of things, general check in"
2913,please let me know about topic elections,tell me news
2914,Hello there,"greet and hello hi kind of things, general check in"
2915,Hola how are you?,"greet and hello hi kind of things, general check in"
2916,How are you doing?,"greet and hello hi kind of things, general check in"
2917,send whatsapp message about,send whatsapp message
2918,download youtube video of,download youtube video
2919,open website linkedin.com,open website
2920,What are your functions?,what can you do
2921,Tell me a joke,tell me joke
2922,humor me,tell me joke
2923,what is the weather like day before tomorrow,asking weather
2924,can you lie,tell me about
2925,volume control unmute,volume control
2926,tell me news,tell me news
2927,tell me you,tell me about
2928,"s2, i could not quite catch up with you.",tell me about
2929,turn on some music,play on youtube
2930,Hi there,"greet and hello hi kind of things, general check in"
2931,play happy playlist next,play on youtube
2932,tell me about my family,tell me about
2933,play the romantic songs,play on youtube
2934,good evening,goodbye
2935,what is the bbc's latest news,tell me news
2936,play on youtube,play on youtube
2937,Hello,"greet and hello hi kind of things, general check in"
2938,play games of c,play games
2939,"Thank you, bye",goodbye
2940,have i received any emails from beth,send email
2941,what restaurants around here have good reviews,places near me
2942,what is the funniest joke ever,tell me joke
2943,capture photo of <name>,click photo
2944,today,asking date
2945,tell me about my day,tell me about
2946,Can you turn the volume up?,volume control
2947,download youtube video of minecraft,download youtube video
2948,hey there,"greet and hello hi kind of things, general check in"
2949,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
2950,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
2951,send whatsapp message to 9898982565,send whatsapp message
2952,play chopin,play on youtube
2953,hey there,"greet and hello hi kind of things, general check in"
2954,covid confirmed cases of,covid cases
2955,check email client,send email
2956,play games of c,play games
2957,play games,play games
2958,what and who was i emailed about last week,send email
2959,play games of xyz 32 bit,play games
2960,play games of xxd,play games
2961,should i take an umbrella today,asking weather
2962,hey there,"greet and hello hi kind of things, general check in"
2963,will there be snow this week,asking weather
2964,open website facebook.com,open website
2965,Tell me a joke,tell me joke
2966,play new songs by barenaked ladies,play on youtube
2967,I am so bored,i am bored
2968,Do you know what time it is?,asking time
2969,can you play a game with me,play games
2970,hey there,"greet and hello hi kind of things, general check in"
2971,tell funny things,tell me joke
2972,open website stackoverflow.com,open website
2973,suggestions for future,tell me about
2974,"Thank you, goodbye",goodbye
2975,"Thank you, goodbye",goodbye
2976,My user is Adam,"greet and hello hi kind of things, general check in"
2977,set the settings to mute,volume control
2978,start play fifa seventeen,play games
2979,turn the volume off,volume control
2980,play bad guy on youtube,play on youtube
2981,play games of gcc,play games
2982,could you please again clarify your answer to me.,tell me about
2983,set the volume to low,volume control
2984,hey,"greet and hello hi kind of things, general check in"
2985,i want to play blackjack,play games
2986,What are your functions?,what can you do
2987,start the radio now on low volume,volume control
2988,tell me a joke about lawyers,tell me joke
2989,tomorrow,asking date
2990,time and date of today,asking time
2991,what time is it on the west coast,asking time
2992,play games of c,play games
2993,Hya there,"greet and hello hi kind of things, general check in"
2994,Hola how are you?,"greet and hello hi kind of things, general check in"
2995,tell me about my job,tell me about
2996,explain it further please.,tell me about
2997,it looks sunny and clear today is that true,asking weather
2998,Hi there,"greet and hello hi kind of things, general check in"
2999,Do you know what time it is?,asking time
3000,did i get an email from sarah,send email
3001,get yourself muted,volume control
3002,how is my inbox looking at the moment,send email
3003,What's the time?,asking time
3004,tell me a dad joke,tell me joke
3005,volume control unmute,volume control
3006,Can you lower the volume?,volume control
3007,download youtube video of kishore kumar,download youtube video
3008,tell me a good joke,tell me joke
3009,"Thank you, bye",goodbye
3010,Do you know any jokes,tell me joke
3011,tell me some funny joke to laugh,tell me joke
3012,play mario,play games
3013,It is Adam,"greet and hello hi kind of things, general check in"
3014,whats a good place to eat around midtown new york,places near me
3015,volume down,volume control
3016,send email to,send email
3017,screen shot now,take screenshot
3018,decrease twenty percent,volume control
3019,mute for the next hour please,volume control
3020,will play chess,play games
3021,did i receive any new email,send email
3022,open website stackoverflow.com,open website
3023,send email to david davis email address,send email
3024,Hello,"greet and hello hi kind of things, general check in"
3025,play be warned by tech n9ne,play on youtube
3026,i am bored what can i do today with my family,i am bored
3027,your volume is too high please repeat that lower,volume control
3028,what is your best joke,tell me joke
3029,day before tomorrow,asking date
3030,I am so bored,i am bored
3031,Can you mute the volume?,volume control
3032,i want to listen to classical music,play on youtube
3033,what's good news,tell me news
3034,click photo of,click photo
3035,Quiet,goodbye
3036,My user is Adam,"greet and hello hi kind of things, general check in"
3037,whats a good joke,tell me joke
3038,give me the most recent stuff you have angelina jolie,tell me about
3039,make me laugh,tell me joke
3040,good news for economy,tell me news
3041,what time is it tomorrow,asking time
3042,good bye,goodbye
3043,today,asking date
3044,click photo of <name>,click photo
3045,weather for the next week in new york,asking weather
3046,Hello,"greet and hello hi kind of things, general check in"
3047,"Thank you, goodbye",goodbye
3048,where should i go for mexican food in me area,places near me
3049,what is your prescription for long and healthy life,tell me about
3050,what day of the week is first april,asking time
3051,play games of gcc,play games
3052,good evening,goodbye
3053,i am bored today what can i do,i am bored
3054,covid cases of india,covid cases
3055,play let me love you on youtube,play on youtube
3056,Make me laugh,tell me joke
3057,time,asking time
3058,volume control decrease by 10,volume control
3059,play games of gcc,play games
3060,Tell me a joke,tell me joke
3061,This is Adam,"greet and hello hi kind of things, general check in"
3062,do i need to wear a coat today,asking weather
3063,prepare to send an outgoing reply message,send email
3064,what day is it day before tomorrow,asking date
3065,capture photo,click photo
3066,How are you?,"greet and hello hi kind of things, general check in"
3067,turn down the speakers,volume control
3068,i am bored today what can i do,i am bored
3069,what time is it day before tomorrow,asking time
3070,what's happening with the hurricane in the gulf,tell me news
3071,open website stackoverflow.com,open website
3072,i watched the best movie please reserve me a copy when it releases,tell me about
3073,What's the time?,asking time
3074,i am bored what can i do today with my family,i am bored
3075,play bad guy on youtube,play on youtube
3076,i need a funny joke to tell sam,tell me joke
3077,Do you know what time it is?,asking time
3078,good bye,goodbye
3079,which shops can i find in milan,places near me
3080,what is the weather like tomorrow,asking weather
3081,compose this email to this new email address,send email
3082,please play my cricket game,play games
3083,what day is it day after tomorrow,asking date
3084,tell me you,tell me about
3085,play a party music list,play on youtube
3086,What are the top places nearby?,places near me
3087,play my favorite game by name naughty dog,play games
3088,what time is it tomorrow,asking time
3089,Hello how are you?,"greet and hello hi kind of things, general check in"
3090,send whatsapp message,send whatsapp message
3091,send email to dipesh,send email
3092,what will be the weather update for monday noon,asking weather
3093,click photo,click photo
3094,covid confirmed cases of,covid cases
3095,tell me a joke about asia,tell me joke
3096,download youtube video of guru randhawa,download youtube video
3097,can i hear the joke about the old woman again,tell me joke
3098,This is Adam,"greet and hello hi kind of things, general check in"
3099,This is Adam,"greet and hello hi kind of things, general check in"
3100,google search the topic,tell me news
3101,what is the weather day after tomorrow,asking weather
3102,click photo,click photo
3103,Hello how are you?,"greet and hello hi kind of things, general check in"
3104,How are you?,"greet and hello hi kind of things, general check in"
3105,time,asking time
3106,Shut up,goodbye
3107,what's the funniest joke you know,tell me joke
3108,see you later,goodbye
3109,tell me a joke about getting a first,tell me joke
3110,I am finding myself bored,i am bored
3111,hey today i was fired from my job,tell me about
3112,places near me,places near me
3113,Good thanks! It is Adam,"greet and hello hi kind of things, general check in"
3114,This is Adam,"greet and hello hi kind of things, general check in"
3115,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
3116,i want to hear a joke,tell me joke
3117,tell me the temperature in pheonix,asking weather
3118,Hello how are you?,"greet and hello hi kind of things, general check in"
3119,make me laugh,tell me joke
3120,play games of gcc,play games
3121,send email to xyz@gmail.com,send email
3122,open website facebook.com,open website
3123,play games of xyz 32 bit,play games
3124,Goodbye,goodbye
3125,volume control increase by 10,volume control
3126,i am bored what can i do,i am bored
3127,What are the things you can do?,what can you do
3128,do you know any joke,tell me joke
3129,play <song> on youtube,play on youtube
3130,Where can I find,tell me about
3131,take screenshot,take screenshot
3132,whats the weather now,asking weather
3133,open website stackoverflow.com,open website
3134,What are your functions?,what can you do
3135,open temple run game,play games
3136,download youtube video of guru randhawa,download youtube video
3137,please turn the volume down,volume control
3138,what's around me,places near me
3139,capture photo of <name>,click photo
3140,turn down the speakers,volume control
3141,tomorrow,asking date
3142,would you like to play a game with me,play games
3143,where can i find a good taco truck in los angles,places near me
3144,Do you know what time it is?,asking time
3145,send email to dipesh,send email
3146,i am unclear about your response.,tell me about
3147,read new messages from my wife,send email
3148,click photo of,click photo
3149,What can you help me with?,what can you do
3150,report the current time in oakland,asking time
3151,Can you adjust the volume?,volume control
3152,What are your functionalities?,what can you do
3153,play the latest song adele,play on youtube
3154,economic affairs,tell me news
3155,download youtube video of,download youtube video
3156,what is the current date time group,asking time
3157,tell me about tomorrow,tell me about
3158,lower volume,volume control
3159,take screenshot,take screenshot
3160,good evening,goodbye
3161,send email about <name>,send email
3162,tomorrow,asking date
3163,play games of xxd,play games
3164,I am Bella,"greet and hello hi kind of things, general check in"
3165,Tell me a joke,tell me joke
3166,"Thank you, bye",goodbye
3167,play minecraft,play games
3168,Hola how are you?,"greet and hello hi kind of things, general check in"
3169,play lady by kenny roger,play on youtube
3170,mute for two hours,volume control
3171,what's good news today,tell me news
3172,covid confirmed cases of,covid cases
3173,open website linkedin.com,open website
3174,send whatsapp message,send whatsapp message
3175,what time is it tomorrow,asking time
3176,Shut up,goodbye
3177,Hola how are you?,"greet and hello hi kind of things, general check in"
3178,Do you know the time?,asking time
3179,Please be quiet,goodbye
3180,volume control decrease,volume control
3181,what restaurants are open near me,places near me
3182,play any song of arijit singh,play on youtube
3183,whats a silly joke you know,tell me joke
3184,where a good restaurant,places near me
3185,find me the oldest hotel in washington dc,places near me
3186,open website twitter.com,open website
3187,Do you know what time it is?,asking time
3188,what's going on with economy,tell me news
3189,is that the song from spectre,play on youtube
3190,mahaboobsayyad@gmail dot com,send email
3191,what should i wear is it cold outside,asking weather
3192,what is the day of the week,asking date
3193,what clothes store would you recommend here,places near me
3194,what is the weather tomorrow,asking weather
3195,covid cases,covid cases
3196,clarify further on that to me please.,tell me about
3197,hey,"greet and hello hi kind of things, general check in"
3198,Hi there,"greet and hello hi kind of things, general check in"
3199,do i have email from my friend rachel,send email
3200,lower the volume ten percent,volume control
3201,Time,asking time
3202,send email to dipesh,send email
3203,what is the news today,tell me news
3204,explain further please.,tell me about
3205,see you later,goodbye
3206,"Thank you, goodbye",goodbye
3207,covid cases,covid cases
3208,play games of busybox,play games
3209,play guru randhawa on youtube,play on youtube
3210,today,asking date
3211,make my collection mostly pop with a good bit of psychedelia,play on youtube
3212,What is the,tell me about
3213,what restaurant is open after midnight,places near me
3214,play on youtube,play on youtube
3215,what is the best mexican restaurant in seattle,places near me
3216,play games of gcc,play games
3217,Tell me a joke,tell me joke
3218,what is the weather like now today,asking weather
3219,what is trending in tech today,tell me news
3220,time,asking time
3221,What are your functionalities?,what can you do
3222,hey there,"greet and hello hi kind of things, general check in"
3223,open website wikipedia.com,open website
3224,screen shot now,take screenshot
3225,I am finding myself bored,i am bored
3226,How about a joke,tell me joke
3227,i am bored what can i do today,i am bored
3228,I am so bored,i am bored
3229,give me the headlines from sky news,tell me news
3230,Where can I find,tell me about
3231,Quiet,goodbye
3232,hey,"greet and hello hi kind of things, general check in"
3233,I am Bella,"greet and hello hi kind of things, general check in"
3234,open website stackoverflow.com,open website
3235,tell me news tomorrow,tell me news
3236,What can I ask you to do?,what can you do
3237,send email to <name> about <name>,send email
3238,what is the weather like day before tomorrow,asking weather
3239,tell me a joke about the north korea nuclear summit,tell me joke
3240,list shops in douglasville ga,places near me
3241,when was this song recorded,play on youtube
3242,Tell me a joke,tell me joke
3243,screen shot of <name>,take screenshot
3244,Great thanks! I am Bella,"greet and hello hi kind of things, general check in"
3245,tell me about my business,tell me about
3246,Hello,"greet and hello hi kind of things, general check in"
3247,open website stackoverflow.com,open website
3248,play jingle bells,play on youtube
3249,"Thank you, bye",goodbye
3250,what time is it day before tomorrow,asking time
3251,howdy,"greet and hello hi kind of things, general check in"
3252,Hope you are doing well?,"greet and hello hi kind of things, general check in"
3253,"s2, i was not clear about that.",tell me about
3254,Do you know what time it is?,asking time
3255,places near me to eat today with my friends,places near me
3256,send email about <name>,send email
3257,what type of music do i enjoy,play on youtube
3258,"Thank you, bye",goodbye
3259,download youtube video of minecraft,download youtube video
3260,good bye,goodbye
3261,send email to,send email
3262,play games,play games
3263,Quiet,goodbye
3264,send whatsapp message to 9898982565,send whatsapp message
3265,what is today's weather forecast,asking weather
3266,screen shot now,take screenshot
3267,Hello how are you?,"greet and hello hi kind of things, general check in"
3268,hey there,"greet and hello hi kind of things, general check in"
3269,lower the speakers,volume control
3270,What can you assist me with?,what can you do
3271,It is Adam,"greet and hello hi kind of things, general check in"
3272,covid cases of india past 24 hours,covid cases
3273,good evening,goodbye
3274,open website facebook.com,open website
3275,play football match for myself now,play games
3276,send email about,send email
3277,Hello how are you?,"greet and hello hi kind of things, general check in"
3278,It is Adam,"greet and hello hi kind of things, general check in"
3279,Do you know the time?,asking time
3280,how about a nice game of chess,play games
3281,volume control decrease,volume control
3282,"Thank you, goodbye",goodbye
3283,hips dont lie thats the song i would like you to play for me,play on youtube
3284,tell me a dad joke,tell me joke
3285,Hi there,"greet and hello hi kind of things, general check in"
3286,how's the weather like in beijing,asking weather
3287,whats up,"greet and hello hi kind of things, general check in"
3288,what's happening on bbc news today,tell me news
3289,Stop talking,goodbye
3290,the joke of the day,tell me joke
3291,let's play space invaders,play games
3292,Quiet,goodbye
3293,turn down the noise,volume control
3294,which song is this one,play on youtube
3295,what day of the week is it,asking time
3296,download youtube video of <name>,download youtube video
3297,Hi,"greet and hello hi kind of things, general check in"
3298,can you turn that down,volume control
3299,send email to <name>,send email
3300,what time is it day after tomorrow,asking time
3301,"Thank you, goodbye",goodbye
3302,Can you recommend some places nearby?,places near me
3303,send email to <name> about <name>,send email
3304,i am bored what can i do today with my girlfriend,i am bored
3305,This is Adam,"greet and hello hi kind of things, general check in"
3306,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
3307,update my inbox please,send email
3308,silence for two hours,volume control
3309,play kishore kumar on youtube,play on youtube
3310,send email to mommy that i'll be going the party,send email
3311,whats up,"greet and hello hi kind of things, general check in"
3312,See you later,goodbye
3313,play the veldt by,play on youtube
3314,send email about,send email
3315,initiate celine dion music,play on youtube
3316,dolores how was your day,tell me about
3317,cnn headlines,tell me news
3318,tell me the news of the day,tell me news
3319,what can you do,tell me about
3320,Hola how are you?,"greet and hello hi kind of things, general check in"
3321,have i received any emails from my father,send email
3322,My user is Adam,"greet and hello hi kind of things, general check in"
3323,other songs by this artist,play on youtube
3324,will it rain,asking weather
3325,what is the day of the week,asking date
3326,what is the current temperature outside,asking weather
3327,Can you recommend some places nearby?,places near me
3328,tell me news,tell me news
3329,can you feel,tell me about
3330,It is Adam,"greet and hello hi kind of things, general check in"
3331,can you watch a movie on netflix with me,tell me about
3332,"Thanks, bye",goodbye
3333,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
3334,tell me a joke about asia,tell me joke
3335,covid cases,covid cases
3336,daily cases of india,covid cases
3337,Can you tell me the time?,asking time
3338,send whatsapp message,send whatsapp message
3339,what happened to charlie chaplin,tell me about
3340,i challenge you to a game,play games
3341,send answer to george,send email
3342,Quiet,goodbye
3343,What are your functionalities?,what can you do
3344,play the bjork album i've heard the least,play on youtube
3345,Stop talking,goodbye
3346,Do you know any jokes,tell me joke
3347,Do you know what time it is?,asking time
3348,click selfie of,click photo
3349,Hya there,"greet and hello hi kind of things, general check in"
3350,volume control decrease by 10,volume control
3351,where is the nearest pub in the city,places near me
3352,tell me my latest email,send email
3353,i am unclear about your answer.,tell me about
3354,please email celine,send email
3355,what is the weather like now tomorrow,asking weather
3356,low the volume,volume control
3357,"Thank you, goodbye",goodbye
3358,"Thanks, bye",goodbye
3359,Hope you are doing well?,"greet and hello hi kind of things, general check in"
3360,Thanks good bye,goodbye
3361,tell me about history of british india,tell me about
3362,Hi there,"greet and hello hi kind of things, general check in"
3363,play games of xxd,play games
3364,what is the weather today,asking weather
3365,could you clarify me on it further.,tell me about
3366,find me the cheapest copy of the four hour body,tell me about
3367,good news for economy,tell me news
3368,Where should I go nearby?,places near me
3369,send email to dipesh,send email
3370,what time is it now,asking time
3371,covid cases of india past 48 hours,covid cases
3372,be mute,volume control
3373,i am bored what can i do today with my family,i am bored
3374,today is which date,asking time
3375,what day is it day before tomorrow,asking date
3376,what's good news,tell me news
3377,find jazz music on my playlist,play on youtube
3378,Do you know any jokes,tell me joke
3379,"Thank you, goodbye",goodbye
3380,do we have thirty first day on this month,asking time
3381,what mexican food is around me,places near me
3382,covid confirmed cases of,covid cases
3383,what is your name,tell me about
3384,send email to xyz@gmail.com,send email
3385,is the song by shakira,play on youtube
3386,i need a funny joke to tell sam,tell me joke
3387,Hello how are you?,"greet and hello hi kind of things, general check in"
3388,play jack johnson playlist music,play on youtube
3389,Quiet,goodbye
3390,good news for economy,tell me news
3391,where i can find a bakery,places near me
3392,reply email to charlotte,send email
3393,start playing my song list,play on youtube
3394,tell me joke about trump,tell me joke
3395,Hope you are doing well?,"greet and hello hi kind of things, general check in"
3396,"Thanks, bye",goodbye
3397,My user is Bella,"greet and hello hi kind of things, general check in"
3398,tell me fun joke,tell me joke
3399,tell me about,tell me about
3400,latest updates on syrian civil war,tell me news
3401,Enough talking,goodbye
3402,hi,"greet and hello hi kind of things, general check in"
3403,How hot will it be,asking weather
3404,what's the good news?,tell me news
3405,tell me a fun joke,tell me joke
3406,Can you turn the volume up?,volume control
3407,What are some nearby locations?,places near me
3408,It is Bella,"greet and hello hi kind of things, general check in"
3409,what day is it day after tomorrow,asking date
3410,play games of xxd,play games
3411,are any of my new emails from amy,send email
3412,open website instagram.com,open website
3413,send email about,send email
3414,see you later,goodbye
3415,play despacito on youtube today,play on youtube
3416,i want to slow down my speaker,volume control
3417,tell me who wrote this song,play on youtube
3418,make me laugh,tell me joke
3419,what's the good news?,tell me news
3420,what is the time in bangalore,asking time
3421,Can you tell me the time?,asking time
3422,play all the latest pop songs,play on youtube
3423,i would like to mute the speakers please,volume control
3424,download youtube video of minecraft,download youtube video
3425,start candy crush,play games
3426,email my favourite contacts,send email
3427,Hola how are you?,"greet and hello hi kind of things, general check in"
3428,click selfie of,click photo
3429,take screenshot of google,take screenshot
3430,tomorrow,asking date
3431,tell me news,tell me news
3432,locate local pizza shops,places near me
3433,top news,tell me news
3434,Tell me a joke,tell me joke
3435,Hello how are you?,"greet and hello hi kind of things, general check in"
3436,Hi there,"greet and hello hi kind of things, general check in"
3437,Where should I go nearby?,places near me
3438,download youtube video of minecraft,download youtube video
3439,send whatsapp message to dipesh,send whatsapp message
3440,lower the speakers,volume control
3441,What are your functions?,what can you do
3442,Can you increase the volume?,volume control
3443,screen shot now,take screenshot
3444,tell joke,tell me joke
3445,What is the weather like today,asking weather
3446,What is the weather like today,asking weather
3447,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
3448,today,asking date
3449,how many jokes do you know,tell me joke
3450,tell me a dad joke,tell me joke
3451,play <song> on youtube,play on youtube
3452,download youtube video of kishore kumar,download youtube video
3453,hey there,"greet and hello hi kind of things, general check in"
3454,tell me a dad joke,tell me joke
3455,Can you turn the volume up?,volume control
3456,good evening,goodbye
3457,open website stackoverflow.com,open website
3458,download youtube video of <name>,download youtube video
3459,tell me about my job,tell me about
3460,click selfie,click photo
3461,play baseball net,play games
3462,what pubs are close,places near me
3463,take screenshot of google,take screenshot
3464,could you please further elaborate me about what you have just said.,tell me about
3465,send email to,send email
3466,what can you do,what can you do
3467,make me laugh,tell me joke
3468,tomorrow,asking date
3469,volume control decrease,volume control
3470,send whatsapp message,send whatsapp message
3471,download youtube video hd,download youtube video
3472,funny joke,tell me joke
3473,what time of day is it in london,asking time
3474,places near me to eat today with my family,places near me
3475,i don't understand what you have said.,tell me about
3476,play bad guy on youtube,play on youtube
3477,i don't understand this question but what's it like in there,tell me about
3478,i would like it if my robot could engage in deep conversation with me,tell me about
3479,see you,goodbye
3480,covid confirmed cases of,covid cases
3481,what time is it now,asking time
3482,play minecraft with me,play games
3483,Where should I go nearby?,places near me
3484,Hello,"greet and hello hi kind of things, general check in"
3485,what is the weather like now tomorrow,asking weather
3486,Quiet,goodbye
3487,what time is it today,asking time
3488,"Thank you, bye",goodbye
3489,hello there,"greet and hello hi kind of things, general check in"
3490,Hello,"greet and hello hi kind of things, general check in"
3491,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
3492,download youtube video of <name>,download youtube video
3493,daily cases of india,covid cases
3494,turn down the speakers,volume control
3495,play my first favorite song on loop,play on youtube
3496,have any suggestions for local italian food,places near me
3497,Do you know any jokes,tell me joke
3498,volume control mute,volume control
3499,places near me to eat today,places near me
3500,hey share me some joke to make me happy,tell me joke
3501,Hi there,"greet and hello hi kind of things, general check in"
3502,Tell me a joke,tell me joke
3503,My user is Bella,"greet and hello hi kind of things, general check in"
3504,play let me love you on youtube,play on youtube
3505,what's that the album is current music from,play on youtube
3506,i want exact time in washington right now,asking time
3507,go to youtube and play me the best wedding songs collection,play on youtube
3508,have i gotten any emails lately,send email
3509,covid cases,covid cases
3510,good restaurants,tell me about
3511,what time is it today,asking time
3512,send whatsapp message about <name>,send whatsapp message
3513,Can you set the volume to minimum?,volume control
3514,play on youtube,play on youtube
3515,open news about bp oil,tell me news
3516,please read the last email for me,send email
3517,My user is Adam,"greet and hello hi kind of things, general check in"
3518,tell me a joke about the north korea nuclear summit,tell me joke
3519,make me laugh i want to hear a joke,tell me joke
3520,what time is it day before tomorrow,asking time
3521,day after tomorrow,asking date
3522,what day is it tomorrow,asking date
3523,What can you assist me with?,what can you do
